,State,Year,Population,Number of Cannabis Users,Number of Opioid Deaths,Per Capita Cannabis Use,Per Capita Opioid Deaths,Recreational,Rec Year Legalized,Medical,Med Year Legalized,Years legal (rec),Years legal (med)
138,South Carolina,2016,4963031,448000,879,0.0902674192444093,0.0001771095123121,0,0,0,0,0,0
139,South Carolina,2017,5027102,462000,1008,0.0919018551841597,0.0002005131385836,0,0,0,0,0,0
140,South Carolina,2018,5091702,578000,1125,0.1135180338519418,0.0002209477302481,0,0,0,0,0,0
141,South Carolina,2019,5157702,620000,1127,0.1202085735081243,0.0002185081650704,0,0,0,0,0,0
142,South Carolina,2020,5218040,592000,1739,0.1134525607316157,0.0003332668971491,0,0,0,0,0,0
143,Maine,2014,1331217,224000,216,0.1682670819257867,0.0001622575432855,1,2016,1,1999,6,23
144,Maine,2015,1329098,227000,269,0.1707925224475546,0.0002023929010501,1,2016,1,1999,6,23
145,Maine,2016,1332348,228000,353,0.1711264624557548,0.0002649457949424,1,2016,1,1999,6,23
146,Maine,2017,1335743,253000,424,0.1894076929469216,0.0003174263312628,1,2016,1,1999,6,23
147,Maine,2018,1340123,277000,345,0.2066974449360245,0.0002574390559672,1,2016,1,1999,6,23
148,Maine,2019,1345770,289000,371,0.2147469478439852,0.0002756786077858,1,2016,1,1999,6,23
149,Maine,2020,1350141,283000,496,0.2096077372659596,0.0003673690377523,1,2016,1,1999,6,23
150,Washington,2014,7057531,1105000,979,0.156570335999941,0.0001387170669175,1,2012,1,1998,10,24
151,Washington,2015,7167287,1037000,1094,0.1446851507411381,0.0001526379507336,1,2012,1,1998,10,24
152,Washington,2016,7299961,1140000,1102,0.1561652178689721,0.0001509597106066,1,2012,1,1998,10,24
153,Washington,2017,7427951,1378000,1169,0.1855154941113639,0.000157378528749,1,2012,1,1998,10,24
154,Washington,2018,7526793,1467000,1164,0.1949037259294894,0.0001546475371383,1,2012,1,1998,10,24
155,Washington,2019,7614024,1624000,1259,0.2132906331789865,0.0001653527753524,1,2012,1,1998,10,24
156,Washington,2020,7693612,1715000,1733,0.2229122030068581,0.0002252518063037,1,2012,1,1998,10,24
157,Idaho,2014,1632248,152000,212,0.0931231038420632,0.0001298822237797,0,0,0,0,0,0
158,Idaho,2015,1652495,152000,218,0.0919821240003751,0.0001319217304742,0,0,0,0,0,0
159,Idaho,2016,1684036,158000,243,0.0938222223277887,0.000144296202694,0,0,0,0,0,0
160,Idaho,2017,1719745,175000,236,0.101759272450276,0.0001372296474186,0,0,0,0,0,0
161,Idaho,2018,1752074,196000,250,0.1118674211249068,0.0001426880371491,0,0,0,0,0,0
162,Idaho,2019,1789060,205000,265,0.1145853129576425,0.0001481224777257,0,0,0,0,0,0
163,Idaho,2020,1826913,239000,287,0.1308217742169441,0.0001570956033483,0,0,0,0,0,0
164,Alaska,2014,737075,114000,124,0.1546654004002306,0.0001682325407862,1,2014,1,1998,8,24
165,Alaska,2015,738430,127000,122,0.1719865119239467,0.0001652153894072,1,2014,1,1998,8,24
166,Alaska,2016,742575,134000,128,0.1804531528801804,0.0001723731609601,1,2014,1,1998,8,24
167,Alaska,2017,740983,133000,147,0.1794912973711947,0.0001983851181471,1,2014,1,1998,8,24
168,Alaska,2018,736624,139000,110,0.1886987119615977,0.0001493299159408,1,2014,1,1998,8,24
169,Alaska,2019,733603,146000,132,0.1990177248457272,0.0001799338334221,1,2014,1,1998,8,24
170,Alaska,2020,731158,140000,160,0.1914770815610305,0.0002188309503554,1,2014,1,1998,8,24
171,Montana,2014,1022657,120000,125,0.1173413959910312,0.0001222306208239,1,2020,1,2004,2,18
172,Montana,2015,1031495,133000,138,0.1289390641738447,0.0001337863974134,1,2020,1,2004,2,18
173,Montana,2016,1042137,160000,119,0.1535306778283469,0.0001141884416348,1,2020,1,2004,2,18
174,Montana,2017,1053862,171000,119,0.1622603338957093,0.0001129180101379,1,2020,1,2004,2,18
175,Montana,2019,1070123,180000,143,0.1682049633546798,0.0001336294986651,1,2020,1,2004,2,18
176,Montana,2020,1080577,212000,162,0.1961914791819555,0.0001499199039031,1,2020,1,2004,2,18
177,New Jersey,2014,8867277,844000,1253,0.0951814181512543,0.0001413060627292,1,2020,1,2010,2,12
178,New Jersey,2015,8870312,894000,1454,0.1007856318920912,0.0001639175713323,1,2020,1,2010,2,12
179,New Jersey,2016,8873584,907000,2056,0.1022134911891294,0.0002316989392335,1,2020,1,2010,2,12
180,New Jersey,2017,8888147,912000,2685,0.1026085639672701,0.0003020877129957,1,2020,1,2010,2,12
181,New Jersey,2018,8891730,931000,2900,0.1047040339731413,0.0003261457556628,1,2020,1,2010,2,12
182,New Jersey,2019,8891258,1033000,2805,0.1161815347164597,0.0003154784171148,1,2020,1,2010,2,12
183,New Jersey,2020,8882371,1121000,2840,0.1262050414241873,0.0003197344492816,1,2020,1,2010,2,12
184,Maryland,2014,5960064,670000,1070,0.1124149002426819,0.0001795282735218,0,0,1,2013,0,9
185,Maryland,2015,5988528,757000,1285,0.1264083594499349,0.0002145769377716,0,0,1,2013,0,9
186,Maryland,2016,6007014,779000,2044,0.1296817353846686,0.0003402688923315,0,0,1,2013,0,9
187,Maryland,2017,6028186,781000,2247,0.1295580461518606,0.000372748949684,0,0,1,2013,0,9
188,Maryland,2018,6042153,738000,2324,0.1221418921367929,0.0003846311074876,0,0,1,2013,0,9
189,Maryland,2019,6054954,813000,2369,0.1342702190635965,0.0003912498757215,0,0,1,2013,0,9
190,Maryland,2020,6055802,839000,2771,0.1385448203227252,0.0004575777081218,0,0,1,2013,0,9
191,District of Columbia,2014,663603,121000,96,0.1823379339755848,0.0001446648071211,1,2015,1,2011,7,11
192,District of Columbia,2015,677014,134000,125,0.1979279601308097,0.0001846342911668,1,2015,1,2011,7,11
193,District of Columbia,2016,687576,143000,269,0.2079770090869954,0.0003912294786321,1,2015,1,2011,7,11
194,District of Columbia,2017,697079,154000,310,0.2209218754258843,0.000444712866117,1,2015,1,2011,7,11
195,District of Columbia,2018,704147,157000,254,0.222964807064434,0.000360720133722,1,2015,1,2011,7,11
196,District of Columbia,2019,708253,164000,311,0.2315556729021974,0.0004391086236133,1,2015,1,2011,7,11
197,District of Columbia,2020,712816,181000,424,0.2539224708760746,0.0005948239096765,1,2015,1,2011,7,11
198,Wisconsin,2014,5753199,572000,853,0.0994229471290668,0.0001482653389879,0,0,0,0,0,0
199,Wisconsin,2015,5762927,584000,878,0.1013373933072551,0.0001523531358283,0,0,0,0,0,0
200,Wisconsin,2016,5775170,592000,1074,0.1025078049650486,0.0001859685515751,0,0,0,0,0,0
201,Wisconsin,2017,5793147,619000,1177,0.1068503871902439,0.0002031710916363,0,0,0,0,0,0
202,Wisconsin,2018,5809319,666000,1079,0.1146433859114984,0.0001857360561539,0,0,0,0,0,0
203,Wisconsin,2019,5824581,720000,1201,0.1236140419370938,0.0002061950893978,0,0,0,0,0,0
204,Wisconsin,2020,5832655,765000,1531,0.1311581089572416,0.0002624876664229,0,0,0,0,0,0
205,Vermont,2014,625693,108000,83,0.1726086115714895,0.0001326529144484,1,2020,1,2004,2,18
206,Vermont,2015,625810,111000,99,0.1773701283137054,0.0001581949793068,1,2020,1,2004,2,18
207,Vermont,2016,624366,118000,125,0.1889917131938638,0.0002002030860104,1,2020,1,2004,2,18
208,Vermont,2017,625132,129000,134,0.2063564175246188,0.0002143547282813,1,2020,1,2004,2,18
209,Vermont,2018,624802,138000,153,0.2208699716070051,0.0002448775772164,1,2020,1,2004,2,18
210,Vermont,2019,624046,148000,133,0.2371620040830323,0.00021312531448,1,2020,1,2004,2,18
211,Vermont,2020,623347,160000,190,0.2566788642601953,0.0003048061513089,1,2020,1,2004,2,18
212,New Hampshire,2014,1334257,194000,334,0.1453992746524844,0.0002503265862573,0,0,1,2013,0,9
213,New Hampshire,2015,1337480,199000,422,0.1487872715853695,0.0003155187367287,0,0,1,2013,0,9
214,New Hampshire,2016,1343694,202000,481,0.1503318463876448,0.0003579684064973,0,0,1,2013,0,9
215,New Hampshire,2017,1350395,216000,467,0.1599531988788465,0.0003458247401686,0,0,1,2013,0,9
216,New Hampshire,2018,1355064,240000,452,0.1771134057136784,0.0003335635807607,0,0,1,2013,0,9
217,New Hampshire,2019,1360783,253000,407,0.1859223696945067,0.0002990925077694,0,0,1,2013,0,9
218,New Hampshire,2020,1366275,260000,393,0.1902984391868401,0.0002876434100016,0,0,1,2013,0,9
219,Colorado,2014,5352637,909000,899,0.1698228368559272,0.0001679545988267,1,2012,1,2000,10,22
220,Colorado,2015,5454328,1033000,869,0.1893908837165641,0.0001593230183443,1,2012,1,2000,10,22
221,Colorado,2016,5543844,1057000,942,0.1906619306026648,0.0001699182011615,1,2012,1,2000,10,22
222,Colorado,2017,5617421,1155000,1015,0.205610368174292,0.0001806878993046,1,2012,1,2000,10,22
223,Colorado,2019,5758486,1265000,1079,0.2196757967285151,0.0001873756400553,1,2012,1,2000,10,22
224,Colorado,2020,5807719,1300000,1492,0.2238400308279378,0.0002568994815348,1,2012,1,2000,10,22
225,Michigan,2014,9932033,1304000,1762,0.1312923547475124,0.0001774057738229,1,2018,1,2008,4,14
226,Michigan,2015,9934483,1266000,1980,0.127434915334799,0.0001993057917558,1,2018,1,2008,4,14
227,Michigan,2016,9954117,1317000,2347,0.132307064504064,0.0002357818378064,1,2018,1,2008,4,14
228,Michigan,2017,9976752,1406000,2694,0.140927628550855,0.0002700277605376,1,2018,1,2008,4,14
229,Michigan,2018,9987286,1562000,2591,0.1563988454921587,0.0002594298390974,1,2018,1,2008,4,14
230,Michigan,2019,9984795,1765000,2385,0.1767687769253149,0.0002388631914826,1,2018,1,2008,4,14
231,Michigan,2020,9966555,1918000,2759,0.1924436277128857,0.0002768258440353,1,2018,1,2008,4,14
232,Connecticut,2014,3595697,427000,623,0.1187530539975976,0.0001732626525538,1,2021,1,2012,1,10
233,Connecticut,2015,3588561,479000,800,0.13347968726183,0.0002229305841533,1,2021,1,2012,1,10
234,Connecticut,2016,3579830,461000,971,0.1287770648326875,0.0002712419304827,1,2021,1,2012,1,10
235,Connecticut,2017,3575324,497000,1072,0.1390083807789168,0.0002998329661871,1,2021,1,2012,1,10
236,Connecticut,2019,3566022,583000,1214,0.1634874939077773,0.0003404353646724,1,2021,1,2012,1,10
237,Connecticut,2020,3557006,626000,1371,0.1759907067910484,0.0003854365159912,1,2021,1,2012,1,10
238,Massachusetts,2014,6764864,989000,1289,0.146196582813786,0.0001905433723427,1,2016,1,2012,6,10
239,Massachusetts,2015,6797484,1058000,1724,0.1556458242490898,0.000253623252368,1,2016,1,2012,6,10
240,Massachusetts,2016,6827280,1088000,2227,0.1593606824386871,0.0003261913968666,1,2016,1,2012,6,10
241,Massachusetts,2017,6863560,1173000,2168,0.1709025636841522,0.0003158710639959,1,2016,1,2012,6,10
242,Massachusetts,2018,6885720,1218000,2241,0.1768878200101079,0.0003254561614471,1,2016,1,2012,6,10
243,Massachusetts,2019,6894883,1318000,2210,0.1911562531227868,0.0003205275564501,1,2016,1,2012,6,10
244,Massachusetts,2020,6893574,1432000,2302,0.2077296914488768,0.000333934182762,1,2016,1,2012,6,10
245,Indiana,2014,6596019,700000,1172,0.1061246185009473,0.0001776829326901,0,0,0,0,0,0
246,Indiana,2015,6611442,760000,1245,0.1149522297858772,0.0001883099027413,0,0,0,0,0,0
247,Indiana,2016,6637898,733000,1526,0.1104265235771926,0.000229892053177,0,0,0,0,0,0
248,Indiana,2017,6662068,796000,1852,0.1194824189726073,0.0002779917587151,0,0,0,0,0,0
249,Indiana,2018,6698481,867000,1629,0.1294323295087349,0.0002431894634022,0,0,0,0,0,0
250,Indiana,2019,6731010,928000,1699,0.1378693539305394,0.0002524138279396,0,0,0,0,0,0
251,Indiana,2020,6754953,873000,2321,0.1292385009932711,0.0003435997260084,0,0,0,0,0,0
252,Wyoming,2014,583159,51000,109,0.0874547078927016,0.0001869130031432,0,0,0,0,0,0
253,Wyoming,2015,586389,52000,96,0.0886783346890886,0.0001637138486567,0,0,0,0,0,0
254,Wyoming,2016,585243,51000,99,0.0871432891978204,0.0001691605025604,0,0,0,0,0,0
255,Wyoming,2017,579994,58000,69,0.1000010344934602,0.0001189667479318,0,0,0,0,0,0
256,Wyoming,2019,580116,61000,79,0.1051513835164001,0.0001361796606196,0,0,0,0,0,0
257,Wyoming,2020,582328,67000,99,0.1150554326771166,0.0001700072811199,0,0,0,0,0,0
258,Missouri,2014,6059130,639000,1067,0.1054606849498195,0.0001760978886407,0,0,1,2018,0,4
259,Missouri,2015,6075411,683000,1066,0.1124203778147684,0.0001754613803082,0,0,1,2018,0,4
260,Missouri,2016,6091384,668000,1371,0.1096630913434451,0.0002250720033411,0,0,1,2018,0,4
261,Missouri,2017,6111382,699000,1367,0.1143767481725082,0.0002236809939224,0,0,1,2018,0,4
262,Missouri,2018,6125986,743000,1610,0.1212865977819733,0.0002628148350322,0,0,1,2018,0,4
263,Missouri,2019,6140475,763000,1583,0.1242574882236309,0.0002577976459475,0,0,1,2018,0,4
264,Missouri,2020,6151548,831000,1875,0.1350879485944025,0.0003048013280559,0,0,1,2018,0,4
265,Louisiana,2014,4645938,425000,777,0.091477759711817,0.0001672428689319,0,0,1,2015,0,7
266,Louisiana,2015,4666998,427000,861,0.0914935039612187,0.0001844869014299,0,0,1,2015,0,7
